,,"Bước 1",,,,,,,,,,"Bước 2",,,,,,,,,,"Bước 3",,,,,,,,,,"Bước 4",,,,,,,,,,,"Bước 5",,,,,,,,
Ngày,"Cơ sở","Đầu ngày",Mới,"Xử lý","Cuối ngày",24H,"Quá 24H",OUT,Chờ,Mất,,"Đầu ngày",Mới,"Xử lý","Cuối ngày","Sắp KT","Quá hạn",Out,Chờ,Mất,,"Đầu ngày",Mới,"Xử lý","Cuối ngày","Ktra 48H","Quá 48H","Không chấm",Chờ,Mất,,"Đầu ngày",Mới,"Xử lý","Cuối ngày","Chưa liên lạc","Lần 1","Lần 2","Lần 3",Chờ,Mất,,"Đầu ngày",Mới,"Xử lý","Cuối ngày","Sắp N.Học","Quá hạn N.Học","Thất bại",Chờ,Mất
2021-06-23,TDH,5,2,2,5,0,0,5,0,0,,12,7,5,14,4,6,4,0,0,,33,5,5,33,5,21,7,0,0,,24,5,0,29,7,7,6,10,0,0,,29,0,0,29,0,29,0,0,0,

2021-06-23,PTT,0,6,6,0,0,0,0,0,0,,13,6,0,19,4,15,0,0,0,,2,0,0,2,0,2,0,0,0,,6,0,0,6,1,0,0,5,0,0,,6,0,0,6,0,6,0,0,0,
2021-06-23,DQ,4,10,11,3,0,0,3,0,0,,8,11,0,19,12,5,2,0,0,,11,0,0,11,0,8,3,0,0,,8,0,0,8,2,4,0,2,0,0,,12,0,0,12,0,12,0,0,0,
2021-06-23,TY,0,7,7,0,0,0,0,0,0,,32,7,2,37,30,4,3,0,0,,3,2,2,3,2,1,0,0,0,,15,2,1,16,5,0,0,11,0,0,,8,1,0,9,1,8,0,0,0,
2021-06-24,TDH,5,1,1,5,0,0,5,0,0,,14,4,3,15,4,7,4,0,0,,33,3,1,35,3,25,7,0,0,,29,1,0,30,8,7,6,10,0,0,,22,0,0,22,0,22,0,0,0,

2021-06-24,PTT,0,1,1,0,0,0,0,0,0,,19,1,0,20,5,15,0,0,0,,2,0,0,2,0,2,0,0,0,,6,0,0,6,1,0,0,5,0,0,,6,0,0,6,0,6,0,0,0,
2021-06-24,DQ,3,2,2,3,0,0,3,0,0,,19,2,0,21,12,7,2,0,0,,11,0,0,11,0,8,3,0,0,,8,0,0,8,2,4,0,2,0,0,,11,0,0,11,0,11,0,0,0,
2021-06-24,TY,0,3,3,0,0,0,0,0,0,,36,3,1,38,23,12,3,0,0,,2,1,1,2,1,1,0,0,0,,16,1,0,17,6,0,0,11,0,0,,9,0,0,9,0,9,0,0,0,
2021-06-25,TDH,10,4,9,5,0,0,5,0,0,,9,9,0,18,12,2,4,0,0,,36,0,1,35,0,28,7,0,0,,29,1,0,30,7,8,6,10,0,0,,22,0,0,22,0,22,0,0,0,

2021-06-25,PTT,0,8,6,2,2,0,0,0,0,,20,6,0,26,5,21,0,0,0,,2,0,0,2,0,2,0,0,0,,6,1,1,6,1,0,0,5,0,0,,5,2,0,7,1,6,0,0,0,
2021-06-25,DQ,5,6,8,3,0,0,3,0,0,,16,8,2,22,11,9,2,0,0,,14,2,3,13,2,8,3,0,0,,8,3,0,11,5,4,0,2,0,0,,11,0,0,11,0,11,0,0,0,
2021-06-25,TY,10,8,18,0,0,0,0,0,0,,28,18,0,46,26,18,2,0,0,,1,0,0,1,0,1,0,0,0,,16,0,1,15,4,0,0,11,0,0,,9,1,0,10,1,9,0,0,0,
2021-06-26,TDH,5,43,42,6,1,0,5,0,0,,17,43,2,58,11,43,4,0,0,,36,2,5,33,2,24,7,0,0,,28,5,0,33,10,8,6,10,0,0,,14,0,0,14,0,14,0,0,0,

2021-06-26,PTT,2,5,5,2,1,1,0,0,0,,20,5,0,25,10,15,0,0,0,,2,0,0,2,0,2,0,0,0,,6,0,0,6,1,0,0,5,0,0,,6,0,0,6,0,6,0,0,0,
2021-06-26,DQ,3,8,7,4,1,0,3,0,0,,20,8,2,26,13,11,2,0,0,,15,3,6,12,2,7,3,0,0,,10,6,0,16,10,4,0,2,0,0,,11,0,0,11,0,11,0,0,0,
2021-06-26,TY,2,9,11,0,0,0,0,0,0,,45,11,0,56,30,24,2,0,0,,1,0,0,1,0,1,0,0,0,,15,0,0,15,4,0,0,11,0,0,,10,0,0,10,0,10,0,0,0,
2021-06-27,TDH,6,2,3,5,0,0,5,0,0,,18,3,1,20,14,2,4,0,0,,33,1,0,34,1,26,7,0,0,,32,0,0,32,10,8,6,10,0,0,,14,0,0,14,0,14,0,0,0,

2021-06-27,PTT,4,0,3,1,0,1,0,0,0,,21,3,2,22,9,13,0,0,0,,2,2,0,4,2,2,0,0,0,,7,0,1,6,1,0,0,5,0,0,,6,1,0,7,1,6,0,0,0,
2021-06-27,DQ,6,4,7,3,0,0,3,0,0,,26,7,1,32,16,14,2,0,0,,11,1,1,11,1,7,3,0,0,,15,1,1,15,9,4,0,2,0,0,,13,1,0,14,1,13,0,0,0,
2021-06-27,TY,6,4,9,1,1,0,0,0,0,,50,9,1,58,37,19,2,0,0,,1,1,0,2,1,1,0,0,0,,14,0,0,14,3,0,0,11,0,0,,10,0,0,10,0,10,0,0,0,
